StoreNumber,OwnershipTypeCode,StreetAddress,City,PostalCode,Latitude,Longitude
30130-24187,Company Owned,12-6 Kaigandori Tarumi-ku,Kobe,655-0036,34.625362,135.049267
17288-175386,Company Owned,1-10-4 Nishimaiko Tarumi-ku,Kobe,655-0048,34.639917,135.0251
26618-244764,Company Owned,1-20 Kandacho Tarumi-ku,Kobe,655-0027,34.629249,135.053473
55548-288599,Company Owned,463-3 Shimizu Uozumicho,Akashi,674-0074,34.705041,134.908763
30177-28875,Company Owned,3-28 Rinkuouraminami,Izumisano,598-0047,34.405979,135.293974
61634-295730,Company Owned,3-28 Rinku Ourai Minami,Izumisano,598-8508,34.407524,135.294474
20892-197786,Company Owned,11-1 Befucho-Asahimachi,Kakogawa,675-0123,34.729872,134.849837
9148-151044,Company Owned,4-9-1 Fujimino,Fujimino,356-0050,35.857734,139.516406
32059-131149,Company Owned,2218-1 Kamitome,Miyoshi-machi,354-0045,35.841664,139.502302
26258-230445,Company Owned,1-1313 Yamamuro,Fujimi,354-0022,35.858597,139.548558
58031-292198,Licensed,3-1 Izumicho,Kawagoe,350-0026,35.905993,139.512294
30522-93076,Company Owned,39-19 Wakitahoncho,Kawagoe,350-1123,35.907022,139.482825
55863-288391,Company Owned,2-6-28 Owada,Niiza,352-0004,35.805375,139.546759
30187-28855,Company Owned,2-39-1 Tohoku,Niiza,352-0001,35.822804,139.574785
55521-286565,Company Owned,2-38-1 Tohoku,Niiza,352-0001,35.822408,139.575133
30283-18619,Company Owned,1-22 Shintomicho,Kawagoe,350-0043,35.914589,139.481641
52636-282408,Company Owned,15-18 Saiwaicho,Kawagoe,350 0063,35.923678,139.483822
30275-60299,Company Owned,1-2-1 Midoricho,Tokorozawa,359-1111,35.805348,139.454917
19717-199787,Company Owned,2-17-10 Keyakidai,Tokorozawa,359-1118,35.796388,139.455616
53762-280755,Company Owned,1-14-5 Kusunokidai,Tokorozawa,359-0037,35.786668,139.473502
54289-286559,Company Owned,1-14-5 Kusunokidai,Tokorozawa,359-0037,35.78646,139.472926
30503-86122,Company Owned,1-8-1 Motomachi,Kiyose,204-0021,35.772584,139.519787
30573-95338,Company Owned,5-2-9 Honmachinishi Chuo-ku,Saitama,338-0004,35.891082,139.614906
61712-296171,Company Owned,2910-1 Kashiwabara,Sayama,350-1335,35.864011,139.404554
30466-84829,Company Owned,2-4-18 Honcho,Asaka,351-0011,35.796643,139.599492
54033-285936,Company Owned,5-3-18 Suzuya Chuo-ku,Saitama,338-0013,35.870517,139.629694
48226-261610,Company Owned,1-2-67 Kitano,Tokorozawa,359-1152,35.796696,139.42842
56737-289737,Company Owned,3-2-3 Iseharacho,Kawagoe,350-1108,35.921742,139.427811
30372-78186,Company Owned,1-1-12 Sakuragicho Omiya-ku,Saitama,330-0854,35.905601,139.621463
17309-180744,Company Owned,2-3 Sakuragicho Omiya-ku,Saitama,330-0854,35.906662,139.622145
47702-259486,Company Owned,10 Shintoshin Chuo-ku,Saitama,330-0081,35.893633,139.631349
30241-50079,Company Owned,630 Nishikicho Omiya-ku,Saitama,330-0853,35.906265,139.62456
65723-298920,Licensed,630 Nishikicho Omiya-ku,Saitama,330-0853,35.907025,139.624366
54370-286613,Company Owned,630 Nishikicho Omiya-ku,Saitama,330-0853,35.907271,139.624602
62976-297587,Company Owned,4-267-2 Kishikicho Omiya-ku,Saitama,330-0843,35.894208,139.634679
26259-236185,Company Owned,4-263-1 Kishikicho Omiya-ku,Saitama,330-0843,35.89629,139.634896
30482-88503,Company Owned,462 Shimohara Kamifujisawa,Iruma,358-0013,35.821399,139.39583
59580-293720,Company Owned,4-6 Honcho,Wako,351-0114,35.788298,139.613124
32629-138158,Company Owned,3-2-2 Bessho Minami-ku,Saitama,336-0021,35.855008,139.647392
30214-44101,Company Owned,7-12-1 Bessho Minami-ku,Saitama,336-0021,35.845725,139.646902
65476-294774,Company Owned,3-9-19 Sumiyoshicho,Nishitokyo,202-0005,35.751653,139.545377
62168-296747,Company Owned,2-5-1 Takasago Urawa-ku,Saitama,330-0063,35.857559,139.653802
65469-297744,Company Owned,6-12 Itchomekita,Ageo,362-0046,35.960826,139.570768
58163-292313,Company Owned,5-7-62 Minamisawa,Higashikurume,203-0023,35.745515,139.528175
30541-94656,Company Owned,1-854-1 Miyaharacho Kita-ku,Saitama,331-0812,35.933187,139.620892
26441-242424,Licensed,1-16-12 Takasago Urawa-ku,Saitama,330-0063,35.859435,139.657
30566-96814,Company Owned,1-3-1 Bijogihigashi,Toda,335-0032,35.826286,139.653461
32013-289018,Company Owned,11-1 Higashitakasagocho Urawa-ku,Saitama,330-0055,35.858234,139.659037
30420-75784,Company Owned,5-43-1 Higashioizumi,Nerima-ku,178-0063,35.749498,139.586143
31080-105576,Company Owned,580-1 Okunaka Mitsugi,Tsurugashima,350-2217,35.92704,139.391975
28486-247907,Company Owned,2-13-1 Narimasu,Itabashi-ku,175-0094,35.777558,139.632953
31416-108699,Company Owned,210 Kamiigusa,Kawajima-machi,350-0152,35.975975,139.467334
60220-292197,Company Owned,2-2-8 Fujimi,Tsurugashima,350-2201,35.951601,139.412464
61914-296429,Company Owned,3-8-1 Atago,Ageo,362-0034,35.96511,139.600923
57406-290121,Company Owned,1-12-9 Tenjincho,Kodaira,187-0004,35.730485,139.493976
29256-253148,Company Owned,1-1931 Owadacho Minuma-ku,Saitama,337-0053,35.923708,139.655889
63738-296750,Company Owned,5-1-1 Hikarigaoka,Nerima-ku,179-0072,35.759954,139.628155
12727-155291,Company Owned,1-3-15 Aomi,Koto-ku,135-0064,35.625467,139.780629
30341-71203,Company Owned,1-3-15 Aomi,Koto-ku,135-0064,35.625281,139.78122
17236-169544,Company Owned,1-1-10 Aomi,Koto-ku,135-0064,35.625684,139.776038
30114-149644,Company Owned,1-7-1 Daiba,Minato-ku,135-0091,35.627642,139.772915
26864-245927,Company Owned,3-11-1 Ariake,Koto-ku,135-0063,35.630898,139.79496
56949-290953,Licensed,2-7-20 Shinonome,Koto-ku,135-0062,35.642063,139.803486
30205-38540,Company Owned,2-2-4 Higashishinagawa,Shinagawa-ku,140-0002,35.623409,139.749103
51904-280045,Company Owned,4-12-5 Higashishinagawa,Shinagawa-ku,140-0002,35.610532,139.748875
30282-50081,Company Owned,1-8-10 Harumi,Chuo-ku,104-0053,35.656468,139.782042
31308-107112,Company Owned,2-4-9 Toyosu,Koto-ku,135-8614,35.655159,139.792569
61101-292830,Company Owned,2-2-1 Toyosu,Koto-ku,135-0061,35.654751,139.794659
30036-11559,Company Owned,2-15-2 Konan,Minato-ku,108-0075,35.626699,139.741934
25550-241531,Company Owned,2-4-9 Toyosu,Koto-ku,135-8614,35.656018,139.791962
56362-290246,Company Owned,3-1-21 Shibaura,Minato-ku,108 0023,35.644773,139.748795
56363-290250,Company Owned,3-1-21 Shibaura,Minato-ku,108-0023,35.644949,139.748937
54297-286560,Licensed,2-1-78 Konan,Minato-ku,108-0075,35.629097,139.740127
5151-148550,Licensed,2-1-78 Konan,Minato-ku,108-0075,35.630017,139.740231
30198-37159,Company Owned,3-3-3 Toyosu,Koto-ku,135-6090,35.656315,139.796494
22404-212190,Company Owned,3-2-24 Toyosu,Koto-ku,135-0061,35.657397,139.794626
59529-293773,Company Owned,5-34-6 Shiba,Minato-ku,108-0014,35.646232,139.746543
61518-295985,Company Owned,2-1-220 Konan,Minato-ku,108-0074,35.636025,139.739549
32014-127585,Company Owned,2-3-4 Shibakoen,Minato-ku,105-0011,35.656892,139.751949
24607-238418,Company Owned,5-6-1 Kitashinagawa,Shinagawa-ku,141-0001,35.62162,139.730927
30043-11582,Company Owned,1-11-1 Osaki,Shinagawa-ku,141-0032,35.61918,139.731241
30575-98057,Company Owned,1-9-1 Higashishinbashi,Minato-ku,105-7302,35.663151,139.760853
53469-285646,Company Owned,5-20-1 Higashioi,Shinagawa-ku,140-0011,35.605846,139.735315
30518-93820,Company Owned,1-1-1 Oi,Shinagawa-ku,140-0014,35.607595,139.734187
31725-117708,Company Owned,1-8-2 Higashishinbashi,Minato-ku,105-7090,35.664379,139.76192
31700-115275,Company Owned,9-1 Akashicho,Chuo-ku,104-8560,35.667318,139.777049
30805-102684,Company Owned,1-17-2-102 Shirokane,Minato-ku,108-0072,35.644109,139.734319
15139-153184,Company Owned,1-50-5 Oi,Shinagawa-ku,140-0014,35.605651,139.734382
59534-293774,Company Owned,1-6-1 Higashishinbashi,Minato-ku,105-7402,35.664598,139.760179
15408-150965,Licensed,2-10-1 Osaki,Shinagawa-ku,141-0032,35.617474,139.728809
30063-12106,Company Owned,2-12-8 Tsukiji,Chuo-ku,104-0045,35.66788,139.771976
30441-81101,Company Owned,1-5-2 Higashishinbashi,Minato-ku,105-7101,35.66551,139.760993
9102-92936,Company Owned,5-15-8 Ginza,Chuo-ku,104-0061,35.6678,139.76728
22628-223066,Licensed,4-11-1 Shinbashi,Minato-ku,105-0004,35.664867,139.756501
58759-292386,Licensed,2-17-14 Shinbashi,Minato-ku,105-0004,35.666153,139.759049
30281-45362,Company Owned,2-5-1 Atago,Minato-ku,105-6290,35.661931,139.748779
30099-18581,Company Owned,2-19-3 Shinbashi,Minato-ku,105-0004,35.666821,139.759653
61671-296103,Licensed,2-17-14 Shinbashi,Minato-ku,105-0004,35.666614,139.758455
30172-31119,Company Owned,1-5-30 Kiba,Koto-ku,135-0042,35.666837,139.804052
32470-138172,Company Owned,2-1-2 Higashigotanda,Shinagawa-ku,141-0022,35.62556,139.724515
49169-250432,Company Owned,6-10-1 Ginza,Chuo-ku,104-0061,35.669637,139.764855
55460-289331,Company Owned,6-10-1 Ginza,Chuo-ku,104 0061,35.669972,139.764354
30037-11560,Company Owned,1-18-1 Nishigotanda,Shinagawa-ku,141-0031,35.623627,139.722933
30028-11542,Company Owned,1-11-14 Azabujuban,Minato-ku,106-0045,35.655717,139.736308
52527-282407,Company Owned,5-7-10 Ginza,Chuo-ku,104-0061,35.670783,139.764146
30001-9512,Company Owned,3-7-14 Ginza,Chuo-ku,104-0061,35.671686,139.766618
62273-296662,Company Owned,3-7-6 Ginza,Chuo-ku,104-0061,35.672005,139.767359
2062-154212,Company Owned,517-1 Karakasayanagi,Goshogawara,037-0004,40.798245,140.454748
47916-253772,Company Owned,2-2-36 Miyoshi,Aomori,038-0006,40.831343,140.703998
51850-278013,Company Owned,2-17-6 Takasaki,Hirosaki,036-8091,40.609248,140.496279
25338-240589,Company Owned,1-1 Kamishiroganecho,Hirosaki,036-8207,40.603364,140.463218
61516-295986,Licensed,9-20 Ekimaecho,Hirosaki,036-8003,40.597414,140.481758
19104-193045,Company Owned,1-2-3 Yanakawa,Aomori,038-8555,40.828181,140.734409
26431-232866,Company Owned,134-2 Fujito Arakawa,Aomori,030-0111,40.79721,140.739452
3778-153185,Company Owned,1-27-1 Deiki Kanazawa-ku,Yokohama,236-0021,35.334333,139.622797
60777-293434,Company Owned,5-2 Shiraho Kanazawa-ku,Yokohama,236-0007,35.379792,139.646188
30559-96621,Company Owned,1-1-1 Sugita Isogo-ku,Yokohama,235-0033,35.385109,139.619451
53754-271409,Company Owned,1809-1 Nagae,Hayamamachi,240-0113,35.28772,139.596485
30513-93813,Company Owned,1-4-1 Zushi,Zushi,249-0006,35.297105,139.579302
12734-152985,Company Owned,3-1-3 Konandai Konan-ku,Yokohama,234-0054,35.37523,139.57727
30534-93317,Company Owned,1 Tomaricho,Yokosuka,238-0001,35.294897,139.67317
3836-153564,Company Owned,2-1-12 Honcho,Yokosuka,238-0041,35.282827,139.660918
30371-77186,Company Owned,1-2-7 Komachi,Kamakura,,35.317999,139.550682
30719-93816,Company Owned,15-11 Onarimachi,Kamakura,248-0012,35.319653,139.547884
30234-45139,Company Owned,2-30 Wakamatsucho,Yokosuka,238-8533,35.278166,139.670525
63752-294273,Company Owned,2-2-1 Kasama Sakae-ku,Yokohama,247-0006,35.354951,139.533098
30366-76565,Company Owned,1-4-1 Ofuna,Kamakura,247-0056,35.352844,139.531215
59594-293820,Company Owned,1-6-1 Kamiookanishi Konan-ku,Yokohama,233-0002,35.409362,139.596785
30253-53059,Company Owned,1-6-1 Kamiookanishi Konan-ku,Yokohama,233-0002,35.409262,139.596324
30335-71202,Company Owned,10 Totsukacho Totsuka-ku,Yokohama,244-0003,35.401319,139.534698
30083-297978,Company Owned,537-1 Shinanomachi Totsuka-ku,Yokohama,244-0801,35.430209,139.558567
30038-11561,Company Owned,1-13-5 Motomachi Naka-ku,Yokohama,231-0861,35.441428,139.650653
65557-300012,Licensed,1-2 Minamifujisawa,Fujisawa,251-0055,35.338672,139.487904
30307-65682,Company Owned,"438-1 Fujisawa,",Fujisawa,251-0052,35.338853,139.487219
30297-62839,Company Owned,60 Nihonodori Naka-ku,Yokohama,231-0021,35.445567,139.640436
30090-14430,Company Owned,4-45 Tokiwacho Naka-ku,Yokohama,231-0014,35.446603,139.635411
60750-294161,Company Owned,1-1-93 Sakuragicho Naka-ku,Yokohama,231-0062,35.450201,139.631431
61669-296102,Company Owned,6-50-10 Honcho Naka-ku,Yokohama,231-0005,35.450361,139.634228
22402-213686,Company Owned,1-1 Sakuragicho Naka-ku,Yokohama,231-0062,35.451154,139.631042
58162-292312,Company Owned,5-57-2 Kitanakadori Naka-ku,Yokohama,231-0003,35.451118,139.636051
30047-11600,Company Owned,2-2-1 Minatomirai Nishi-ku,Yokohama,220-0012,35.454486,139.631339
31678-117267,Company Owned,2-2-1 Shinko Naka-ku,Yokohama,231-0001,35.45482,139.638009
30488-90862,Company Owned,134 Godocho Hodogaya-ku,Yokohama,240-0005,35.454158,139.597038
59577-290351,Company Owned,2-14-1 Shinko Naka-ku,Yokohama,231-0001,35.455619,139.64137
30009-9915,Company Owned,2-3-9 Minatomirai Nishi-ku,Yokohama,220-0012,35.456512,139.634557
58232-292385,Company Owned,3-7-1 Minatomirai Nishi-ku,Yokohama,220-0012,35.458125,139.634618
31844-125768,Licensed,4-7-1 Minatomirai Nishi-ku,Yokohama,220-0012,35.459185,139.631542
22128-213684,Company Owned,4-4-5 Minatomirai Nishi-ku,Yokohama,220-0012,35.460737,139.629829
9105-105573,Company Owned,4-3-5 Tsujidoshinmachi,Fujisawa,251-0042,35.340214,139.465138
18444-178308,Licensed,1-1-1 Takashima Nishi-ku,Yokohama,220-8686,35.464022,139.626734
23616-229284,Licensed,6-20-1 Tsujidomotomachi,Fujisawa,251-0043,35.334049,139.463394
16682-173849,Company Owned,2-19-12 Takashima Nishi-ku,Yokohama,220-0011,35.464745,139.625195
30129-243448,Company Owned,2-15-13 Minamisaiwai Nishi-ku,Yokohama,220-8577,35.464965,139.618546
50851-276485,Company Owned,2-16-B1 Takashima Nishi-ku,Yokohama,220-0011,35.465147,139.622759
12484-154768,Company Owned,2-16-1 Takashima Nishi-ku,Yokohama,220-0011,35.465628,139.622949
30344-65364,Company Owned,1-9-13 Minamisaiwai Nishi-ku,Yokohama,220-0005,35.465617,139.619584
29432-253771,Company Owned,1-10 Kinkomachi Kanagawa-ku,Yokohama,221-0056,35.466616,139.62638
60751-293887,Company Owned,1-1-1 Minamisaiwai Nishi-ku,Yokohama,220-0005,35.466937,139.622549
30194-29717,Company Owned,2-6-1 Kitasaiwai Nishi-ku,Yokohama,220-0004,35.466906,139.616901
26439-243446,Company Owned,1-3-1 Minamisaiwai Nishi-ku,Yokohama,220-8533,35.466998,139.622183
26659-238625,Company Owned,1-4 Minamisaiwai Nishi-ku,Yokohama,220-0005,35.467612,139.61961
57645-291748,Licensed,16-3 Yayoidai Izumi-ku,Yokohama,245-0008,35.428691,139.507015
30093-13400,Company Owned,2-15 Shonandai,Fujisawa,252-0804,35.396114,139.466824
3987-151886,Company Owned,1-16-7 Minamitakada,Nagano,381-0033,36.642894,138.223029
26382-214684,Company Owned,1-22-6 Minamichitose,Nagano,380-8543,36.643706,138.18851
30484-87342,Company Owned,826 Minamichitosecho,Nagano,380-0822,36.644954,138.187986
60496-293715,Company Owned,483 Motoyoshicho,Nagano,380-0851,36.65881,138.187713
23742-233286,Company Owned,963-1 Inasatomachi-nakahigano,Nagano,381-2215,36.609851,138.170565
54284-286564,Company Owned,736-1 Uchikawa,Chikuma,389-0802,36.508449,138.134059
59349-293561,Company Owned,1-6-34 Chuokita,Ueda,386-0011,36.407416,138.258032
15273-156405,Company Owned,3-5-1 Tenjin,Ueda,386-0025,36.399323,138.244095
30552-95906,Company Owned,2-12-18 Tokida,Ueda,386-0018,36.392015,138.257974
58608-292828,Company Owned,5490 Hokujo,Hakubamura,399-9301,36.697636,137.856814
57177-291192,Company Owned,1-22-3 Iwamuradakita,Saku,385-0023,36.283986,138.481206
32662-137352,Company Owned,11-10 Sakudairaekiminami,Saku,385-0029,36.275858,138.463625
60545-294831,Company Owned,629-11 Toyoshina-minamihotaka,Azumino,399-8201,36.301309,137.917488
3688-145584,Company Owned,961-1 Takibe Toyoshina,Azumino,399-8204,36.270644,137.93182
32467-137778,Licensed,1-2-1 Motomachi,Matsumoto,390-0803,36.239835,137.980817
30542-93695,Company Owned,Karuizawa,Karuizawa-machi,389-0102,36.341971,138.637714
51150-277378,Company Owned,"4-9-51, Chuo",Matsumoto,390-0811,36.233782,137.978294
31816-123364,Company Owned,1-1-1 Fukashi,Matsumoto,390-0815,36.230954,137.964528
30543-93817,Company Owned,1-7-1 Nagisa,Matsumoto,390-0841,36.232023,137.955853
60755-293819,Company Owned,9-12 Motoshirocho,Joetsu,943-0835,37.108431,138.258755
53470-285647,Company Owned,1-1-3 Idegawa,Matsumoto,390-0827,36.219876,137.977097
29253-253146,Company Owned,2-18-14 Hiratahigashi,Matsumoto,399-0014,36.189658,137.9642
1832-138646,Company Owned,917 Yokokawa Matsuidamachi,Annaka,379-0301,36.340165,138.740952
21848-215664,Company Owned,1766 Shimomonzen,Joetsu,942-0063,37.157933,138.253298
62672-297169,Company Owned,3-8-8 Nishihoncho,Joetsu,942-0004,37.170808,138.237637
62667-297168,Company Owned,986-1 Hirookayoshida,Shiojiri,399-0701,36.155637,137.950788
47368-254608,Company Owned,1-1-5 Ginza,Okaya,394-0022,36.065893,138.051266
21305-210704,Company Owned,2-2312-1 Jonan,Suwa,392-0017,36.03046,138.120574
16823-170424,Company Owned,3171 Tokokubo Toyoda,Suwa,392-0016,36.027041,138.077763
56372-289736,Company Owned,1894-7 Tomioka,Tomioka,370-2316,36.263131,138.900364
61540-296041,Company Owned,1400 Munadakamachi,Takasaki,370-3521,36.39049,139.00675
31336-107737,Company Owned,1400 Munadakamachi,Takasaki,370-3521,36.39036,139.007357
30589-95542,Company Owned,821 Okubo,Yoshioka-machi,370-3602,36.420071,139.026151
61839-295677,Company Owned,2113-3 Oyagimachi,Takasaki,370-0072,36.359687,139.00142
50179-273350,Company Owned,2-3-10 Motosojamachi,Maebashi,371-0846,36.393068,139.038665
59532-293564,Company Owned,77 Shikishimacho,Maebashi,371-0036,36.409203,139.052727
51703-279065,Company Owned,46-1 Yashimacho,Takasaki,370-0849,36.323035,139.011415
30247-48139,Company Owned,222 Yajimacho,Takasaki,370-0849,36.322882,139.011815
13019-155772,Company Owned,222 Yashimacho,Takasaki,370-0849,36.321955,139.01349
32393-137527,Company Owned,1327-3 Kaizawamachi,Takasaki,370-0042,36.339165,139.027429
6190-152124,Company Owned,1-22 Oyamacho Midori-ku,Sagamihara,252-0146,35.590904,139.348901
30107-15505,Company Owned,6-2-1 Hashimoto Midori-ku,Sagamihara,252-0143,35.596178,139.344842
30983-104802,Company Owned,3-2-8 Oyamagaoka,Machida,194-0215,35.599963,139.379458
18662-190104,Company Owned,2-1-6 Minamiosawa,Hachioji,192-0364,35.614039,139.379545
12964-153844,Company Owned,4-19-20 Kyowa Chuo-ku,Sagamihara,252-0234,35.562572,139.396932
18028-180144,Company Owned,2-12-1 Horinouchi,Hachioji,192-0355,35.628872,139.401189
6194-152450,Company Owned,4-7-1 Koyasumachi,Hachioji,192-0904,35.654096,139.338496
21547-178305,Company Owned,1-15-1 Kitazato Minami-ku,Sagamihara,252-0375,35.538365,139.394945
21202-209867,Company Owned,1-1 Asahicho,Hachioji,192-0083,35.656256,139.339134
30433-79320,Company Owned,9-1 Asahicho,Hachioji,192-0083,35.657431,139.338649
28178-250444,Company Owned,3-27-1 Myojincho,Hachioji,192-0046,35.657934,139.343036
30358-75760,Company Owned,1-46-1 Ochiai,Tama,206-8543,35.622823,139.425192
52510-282404,Licensed,742-1 Higashinakano,Hachioji,192-0393,35.641757,139.408429
50351-267932,Company Owned,550-1 Higashiasakawamachi,Hachioji,193-0834,35.64375,139.289757
25645-228549,Company Owned,2-4-1 Tamadaira,Hino,191-0061,35.661498,139.380727
16307-165465,Company Owned,1-409-2 Motohachiojimachi,Hachioji,193-0826,35.66511,139.288111
32770-139194,Company Owned,1-15-13 Morino,Machida,194-0022,35.543437,139.444017
25551-241530,Company Owned,6-12-20 Haramachida,Machida,194-8550,35.544644,139.445824
30310-64863,Company Owned,3-16-1 Sagamiono Minami-ku,Sagamihara,252-0303,35.532497,139.435369
30004-9833,Company Owned,6-4-1 Haramachida,Machida,194-8501,35.543337,139.446868
19148-199127,Company Owned,3-8-1 Sagamiono Minami-ku,Sagamihara,252-0303,35.531603,139.436809
66374-300903,Company Owned,777-1 Utsukimachi,Hachioji,192-0024,35.68383,139.34678
25852-242713,Company Owned,6-1-11 Haramachida,Machida,194-0013,35.541921,139.446227
31649-115276,Company Owned,4-24-6 Manganji,Hino,191-0024,35.670123,139.411272
19744-200804,Company Owned,4-10-20 Haramachida,Machida,194-0013,35.542321,139.449253
30078-12777,Company Owned,4-72 Sekido,Tama,206-0011,35.649977,139.446696
60769-293884,Company Owned,1-10-1 Sekido,Tama,206-0011,35.6516,139.447101
30831-102809,Company Owned,1-5-1 Nogaya,Machida,195-0053,35.583569,139.482043
53704-282987,Company Owned,2-10-4 Hironodai,Zama,252-0012,35.501369,139.425412
30720-100921,Company Owned,3-1-10 Kanamori,Machida,194-0012,35.530071,139.46197
29433-253770,Company Owned,3-2-1 Shibasakicho,Tachikawa,190-8554,35.69751,139.414725
28883-251780,Company Owned,3-1-1 Shibasakicho,Tachikawa,190-0023,35.69813,139.413449
30376-230464,Company Owned,2-1-1 Akebonocho,Tachikawa,190-0012,35.698513,139.413896
30196-31160,Company Owned,2-5-1 Akebonocho,Tachikawa,190-0012,35.699899,139.41292
32219-135146,Company Owned,1101-1 Oigawa,Atsugi,243-0212,35.469934,139.340328
30564-96701,Company Owned,562-1 Tananacho,Akishima,196-0014,35.713694,139.363825
57325-291412,Company Owned,3-4-1 Tsuruma,Machida,194-0004,35.509878,139.472715
55598-281390,Company Owned,1-17-1 Manpukuji Asao-ku,Kawasaki,215-0004,35.604361,139.507678
58953-293202,Company Owned,1-4-1 Kamiasao Asao-ku,Kawasaki,215 0021,35.603317,139.508831
30432-81167,Company Owned,1-6 Higashi,Kunitachi,186-0002,35.697727,139.447011
26791-238806,Company Owned,935-1 Izumicho,Tachikawa,190-0015,35.712382,139.417126
30583-98076,Company Owned,1-50 Miyamachi,Fuchu,183-0023,35.671173,139.480639
50261-273739,Company Owned,1-2-1 Fuchucho,Fuchu,183-0055,35.672541,139.479499
30311-65681,Company Owned,1-2-1 Shimotsuruma,Yamato,242-0001,35.489094,139.457188
61917-296427,Company Owned,1-14-1 Kita,Kunitachi,186-0001,35.699334,139.447181
28998-252026,Company Owned,1711-6 Higashinaganuma,Inagi,206-0802,35.637979,139.508333
24941-239413,Company Owned,13-1 Ogicho,Ebina,243-0436,35.455946,139.389331
61630-295844,Company Owned,4015-1 Yanokuchi,Inagi,206-8725,35.623789,139.517846
30785-102450,Company Owned,4-7-1 Nagatsutaminamidai Midori-ku,Yokohama,226-0018,35.518058,139.497712
61400-295843,Company Owned,4015-1 Yanokuchi,Inagi,206-8725,35.628656,139.518266
22453-221165,Company Owned,2-11 Nishichaya Minato-ku,Nagoya,455-0858,35.10384,136.825474
66323-300843,Company Owned,2-20-3 Rinkucho,Tokoname,479-0882,34.882784,136.826137
30578-95905,Company Owned,1-1 Centrair,Tokoname,479-0881,34.858659,136.811643
31537-111245,Company Owned,1-1 Centrair,Tokoname,479-0881,34.860478,136.814827
30577-94973,Company Owned,1-1 Centrair,Tokoname,479-0881,34.859299,136.815414
25066-239834,Company Owned,102-1 Shimohamada Otamachi,Tokai,477-0031,35.020257,136.89208
54732-278234,Company Owned,1-1 Centrair,Tokoname,479-0881,34.855287,136.817666
55397-289268,Company Owned,2-3-2 Komei Minato-ku,Nagoya,455-8501,35.110017,136.883019
56205-290111,Licensed,2-3-2 Komei Minato-ku,Nagoya,455 0018,35.109126,136.883892
62770-296426,Company Owned,72 Kagiyamachi Ishida,Tokai,477-0032,35.006767,136.907942
60092-294162,Licensed,9 Hakusuicho Minami-ku,Nagoya,457-0818,35.074489,136.907571
51840-270176,Company Owned,4-60-12 Hiraikecho Nakamura-ku,Nagoya,453-6101,35.162765,136.884131
26660-238416,Licensed,1-1-4 Meieki Nakamura-ku,Nagoya,450-0002,35.169274,136.881551
19122-193564,Licensed,5-6 Tsubakicho Nakamura-ku,Nagoya,453-0801,35.170185,136.881292
30379-72862,Company Owned,1-2-26 Kanayamacho Atsuta-ku,Nagoya,456-0002,35.142154,136.901082
20219-204227,Company Owned,1-17-1 Kanayama Naka-ku,Nagoya,460-0022,35.143596,136.901006
1876-143964,Licensed,5-6 Tsubakicho Nakamura-ku,Nagoya,453-0801,35.170046,136.88292
30110-15813,Company Owned,1-1-4 Meieki Nakamura-ku,Nagoya,450-6013,35.170349,136.882942
63823-298549,Company Owned,1-17-1 Kanayama Naka-ku,Nagoya,460-0022,35.144141,136.901305
22335-219764,Company Owned,1-2-1 Meieki Nakamura-ku,Nagoya,450-8505,35.169942,136.884203
51427-261608,Licensed,1-1-3 Meieki Nakamura-ku,Nagoya,450-6601,35.172344,136.882346
56357-290245,Company Owned,4-27-1 Meieki Nakamura-ku,Nagoya,450-0002,35.168024,136.885867
29048-236190,Licensed,1-1-3 Meieki Nakamura-ku,Nagoya,450-6615,35.172025,136.882978
30186-26867,Company Owned,4-7-25 Meieki Nakamura-ku,Nagoya,450-0002,35.170662,136.88432
29299-247628,Company Owned,1-1-1 Meieki Nakamura-ku,Nagoya,450-0001,35.17279,136.882745
65560-300011,Company Owned,18-4 Sanbonmatsucho Atsuta-ku,Nagoya,456-0032,35.125945,136.91266
64721-297838,Company Owned,3-28-12 Meieki Nakamura-ku,Nagoya,450-0002,35.171986,136.884512
30336-71200,Company Owned,4-5-26 Meieki Nakamura-ku,Nagoya,450-0002,35.171497,136.885406
30483-87340,Company Owned,1-201 Mutsuno Atsuta-ku,Nagoya,456-8763,35.136845,136.909804
66349-300153,Company Owned,3-1-17 Noritakeshinmachi Nishi-ku,Nagoya,451-0051,35.180615,136.880383
66347-300152,Company Owned,3-1-17 Noritakeshinmachi Nishi-ku,Nagoya,451-0051,35.180754,136.880601
59015-291821,Company Owned,2-903 Tachibana Naka-ku,Nagoya,460-0016,35.151094,136.903956
30511-93808,Company Owned,1-18-22 Nishiki Naka-ku,Nagoya,460-8633,35.168245,136.894519
60698-294987,Company Owned,2-16-24 Nishiki Naka-ku,Nagoya,460-0003,35.168072,136.897273
3689-145249,Company Owned,91 Chudojiawatacho Shimogyo-ku,Kyoto,600-8815,34.995825,135.737471
30524-93318,Company Owned,25-1-043 Saiinoiwakecho Ukyo-ku,Kyoto,615-0035,34.99754,135.727035
60774-294830,Company Owned,Kankijicho Shimogyo-ku,Kyoto,600-8835,34.98802,135.743542
19718-200304,Company Owned,8-2 Yamanouchi-ikejiricho Ukyo-ku,Kyoto,615-0072,35.004276,135.719943
30262-53559,Company Owned,652 Nijohanjikicho,Kyoto,600-8412,35.001881,135.759348
