StoreNumber,OwnershipTypeCode,StreetAddress,City,PostalCode,Latitude,Longitude
22888-225986,Company Owned,1-1 Onouemachi,Nagasaki,850-0058,32.752035,129.871163
30365-75782,Company Owned,10-1 Motofunamachi,Nagasaki,850-0035,32.746428,129.870721
30487-91468,Company Owned,1-22 Hamanomachi,Nagasaki,850-0853,32.744043,129.877047
21498-212189,Company Owned,4-10 Shinminatomachi,Sasebo,857-0855,33.164407,129.722699
30520-94537,Company Owned,7-14 Shimanosecho,Sasebo,857-0806,33.172005,129.720717
16807-164411,Company Owned,3-1-1 Kanedahigashi,Kisarazu,292-0008,35.435152,139.935013
32771-139046,Company Owned,1-15-2 Hotaruno,Kisarazu,292-0038,35.376949,139.962204
31817-119924,Company Owned,Umihotaru Nakajimachisaki,Kisarazu,292-0071,35.463536,139.875625
30387-71741,Company Owned,3-3-3 Nakanoshima Kita-ku,Osaka,530-0005,34.693566,135.494092
30368-76573,Company Owned,1-4-12 Sonezakishinchi Kita-ku,Osaka,530-0002,34.698054,135.49587
60705-295074,Company Owned,1-13-13 Umeda Kita-ku,Osaka,530-8224,34.698689,135.499563
60706-295075,Company Owned,1-13-13 Umeda Kita-ku,Osaka,530-8224,34.698719,135.499563
30092-14970,Company Owned,1-9-20 Umeda Kita-ku,Osaka,530-0001,34.699946,135.497111
64665-298827,Company Owned,1-12-6 Umeda Kita-ku,Osaka,530-0001,34.700692,135.498486
15267-149647,Company Owned,3-1-1 Umeda Kita-ku,Osaka,530-8202,34.701513,135.496289
51129-271051,Company Owned,7-10 Nakazonocho,Yamaguchi,753-0075,34.168711,131.466127
1856-142951,Company Owned,1200 Takamigaoka,Iwata,438-0801,34.749953,137.84091
51533-278232,Company Owned,"6039-2, Mitsuke",Iwata,438-0086,34.736128,137.858583
30607-100270,Company Owned,1981-3 Suwa Tennocho Higashi-ku,Hamamatsu,435-0052,34.740295,137.763218
64770-296040,Company Owned,3000 Takao,Fukuroi,437-0023,34.739379,137.92551
25217-240248,Company Owned,1200 Kibune Hamakita-ku,Hamamatsu,434-0038,34.799095,137.778949
29763-255190,Company Owned,1 Handayama Higashi-ku,Hamamatsu,431-3125,34.772909,137.74388
19103-193565,Company Owned,682-1 Shinzucho Naka-ku,Hamamatsu,430-0911,34.720117,137.739524
31469-108701,Company Owned,6-2 Sunayamacho Naka-ku,Hamamatsu,430-0933,34.703823,137.735209
28999-252027,Licensed,6-2 Sunayamacho Naka-ku,Hamamatsu,430-0926,34.703708,137.734424
